datetime,customers_in_store,hour
2025-01-01 00:00:00,47,0
2025-01-01 01:00:00,55,1
2025-01-01 02:00:00,42,2
2025-01-01 03:00:00,52,3
2025-01-01 04:00:00,58,4
2025-01-01 05:00:00,43,5
2025-01-01 06:00:00,46,6
2025-01-01 07:00:00,49,7
2025-01-01 08:00:00,52,8
2025-01-01 09:00:00,45,9
2025-01-01 10:00:00,49,10
2025-01-01 11:00:00,63,11
2025-01-01 12:00:00,72,12
2025-01-01 13:00:00,72,13
2025-01-01 14:00:00,46,14
2025-01-01 15:00:00,54,15
2025-01-01 16:00:00,40,16
2025-01-01 17:00:00,85,17
2025-01-01 18:00:00,86,18
2025-01-01 19:00:00,91,19
2025-01-01 20:00:00,104,20
2025-01-01 21:00:00,52,21
2025-01-01 22:00:00,38,22
2025-01-01 23:00:00,33,23
2025-01-02 00:00:00,48,0
2025-01-02 01:00:00,58,1
2025-01-02 02:00:00,45,2
2025-01-02 03:00:00,41,3
2025-01-02 04:00:00,56,4
2025-01-02 05:00:00,54,5
2025-01-02 06:00:00,56,6
2025-01-02 07:00:00,47,7
2025-01-02 08:00:00,59,8
2025-01-02 09:00:00,46,9
2025-01-02 10:00:00,46,10
2025-01-02 11:00:00,75,11
2025-01-02 12:00:00,80,12
2025-01-02 13:00:00,60,13
2025-01-02 14:00:00,56,14
2025-01-02 15:00:00,56,15
2025-01-02 16:00:00,50,16
2025-01-02 17:00:00,86,17
2025-01-02 18:00:00,101,18
2025-01-02 19:00:00,88,19
2025-01-02 20:00:00,84,20
2025-01-02 21:00:00,45,21
2025-01-02 22:00:00,63,22
2025-01-02 23:00:00,53,23
2025-01-03 00:00:00,57,0
2025-01-03 01:00:00,60,1
2025-01-03 02:00:00,46,2
2025-01-03 03:00:00,44,3
2025-01-03 04:00:00,48,4
2025-01-03 05:00:00,40,5
2025-01-03 06:00:00,65,6
2025-01-03 07:00:00,50,7
2025-01-03 08:00:00,69,8
2025-01-03 09:00:00,50,9
2025-01-03 10:00:00,45,10
2025-01-03 11:00:00,72,11
2025-01-03 12:00:00,54,12
2025-01-03 13:00:00,81,13
2025-01-03 14:00:00,41,14
2025-01-03 15:00:00,54,15
2025-01-03 16:00:00,44,16
2025-01-03 17:00:00,87,17
2025-01-03 18:00:00,93,18
2025-01-03 19:00:00,79,19
2025-01-03 20:00:00,86,20
2025-01-03 21:00:00,54,21
2025-01-03 22:00:00,50,22
2025-01-03 23:00:00,53,23
2025-01-04 00:00:00,54,0
2025-01-04 01:00:00,64,1
2025-01-04 02:00:00,47,2
2025-01-04 03:00:00,45,3
2025-01-04 04:00:00,57,4
2025-01-04 05:00:00,51,5
2025-01-04 06:00:00,39,6
2025-01-04 07:00:00,61,7
2025-01-04 08:00:00,47,8
2025-01-04 09:00:00,60,9
2025-01-04 10:00:00,53,10
2025-01-04 11:00:00,72,11
2025-01-04 12:00:00,59,12
2025-01-04 13:00:00,71,13
2025-01-04 14:00:00,53,14
2025-01-04 15:00:00,55,15
2025-01-04 16:00:00,46,16
2025-01-04 17:00:00,93,17
2025-01-04 18:00:00,93,18
2025-01-04 19:00:00,79,19
2025-01-04 20:00:00,85,20
2025-01-04 21:00:00,60,21
2025-01-04 22:00:00,57,22
2025-01-04 23:00:00,52,23
2025-01-05 00:00:00,43,0
2025-01-05 01:00:00,45,1
2025-01-05 02:00:00,53,2
2025-01-05 03:00:00,62,3
2025-01-05 04:00:00,48,4
2025-01-05 05:00:00,45,5
2025-01-05 06:00:00,58,6
2025-01-05 07:00:00,42,7
2025-01-05 08:00:00,64,8
2025-01-05 09:00:00,51,9
2025-01-05 10:00:00,41,10
2025-01-05 11:00:00,80,11
2025-01-05 12:00:00,74,12
2025-01-05 13:00:00,67,13
2025-01-05 14:00:00,57,14
2025-01-05 15:00:00,50,15
2025-01-05 16:00:00,57,16
2025-01-05 17:00:00,94,17
2025-01-05 18:00:00,100,18
2025-01-05 19:00:00,87,19
2025-01-05 20:00:00,92,20
2025-01-05 21:00:00,49,21
2025-01-05 22:00:00,45,22
2025-01-05 23:00:00,29,23
2025-01-06 00:00:00,57,0
2025-01-06 01:00:00,41,1
2025-01-06 02:00:00,56,2
2025-01-06 03:00:00,53,3
2025-01-06 04:00:00,34,4
2025-01-06 05:00:00,51,5
2025-01-06 06:00:00,50,6
2025-01-06 07:00:00,57,7
2025-01-06 08:00:00,49,8
2025-01-06 09:00:00,58,9
2025-01-06 10:00:00,48,10
2025-01-06 11:00:00,62,11
2025-01-06 12:00:00,71,12
2025-01-06 13:00:00,73,13
2025-01-06 14:00:00,51,14
2025-01-06 15:00:00,48,15
2025-01-06 16:00:00,47,16
2025-01-06 17:00:00,73,17
2025-01-06 18:00:00,99,18
2025-01-06 19:00:00,89,19
2025-01-06 20:00:00,90,20
2025-01-06 21:00:00,42,21
2025-01-06 22:00:00,48,22
2025-01-06 23:00:00,53,23
2025-01-07 00:00:00,47,0
2025-01-07 01:00:00,50,1
2025-01-07 02:00:00,53,2
2025-01-07 03:00:00,37,3
2025-01-07 04:00:00,64,4
2025-01-07 05:00:00,48,5
2025-01-07 06:00:00,49,6
2025-01-07 07:00:00,64,7
2025-01-07 08:00:00,43,8
2025-01-07 09:00:00,39,9
2025-01-07 10:00:00,39,10
2025-01-07 11:00:00,57,11
2025-01-07 12:00:00,78,12
2025-01-07 13:00:00,77,13
2025-01-07 14:00:00,40,14
2025-01-07 15:00:00,53,15
2025-01-07 16:00:00,55,16
2025-01-07 17:00:00,85,17
2025-01-07 18:00:00,95,18
